timestamp,frame_idx,did_infer,detections,capture_ms,infer_ms,draw_ms,encode_ms,emit_ms,loop_ms,display_fps
2026-04-24 09:46:16,59,0,0,1.904,0.0,5.093,1.369,0.331,9.059,31.566
2026-04-24 09:46:16,60,1,0,2.537,221.42,4.349,1.51,0.301,230.476,28.816
2026-04-24 09:46:16,61,0,0,2.088,0.0,4.715,1.39,0.317,8.889,30.512
2026-04-24 09:46:16,62,0,0,2.016,0.0,4.663,1.159,0.269,8.496,31.991
2026-04-24 09:46:16,63,1,0,2.046,272.16,4.607,1.47,0.307,280.961,29.131
2026-04-24 09:46:16,64,0,0,2.276,0.0,3.736,1.371,0.312,8.04,31.094
2026-04-24 09:46:16,65,0,0,1.858,0.0,3.647,1.273,0.267,7.401,32.819
2026-04-24 09:46:17,66,1,0,1.592,173.223,4.337,1.359,0.313,181.156,30.055
2026-04-24 09:46:17,67,0,0,1.544,0.0,3.883,1.275,0.331,7.375,31.728
2026-04-24 09:46:17,68,0,0,5.239,0.0,3.793,1.231,0.282,10.863,32.729
2026-04-24 09:46:17,69,1,0,14.043,234.108,4.913,1.507,0.387,255.416,29.833
2026-04-24 09:46:17,70,0,0,1.556,0.0,4.131,1.284,0.296,7.617,31.259
2026-04-24 09:46:17,71,0,0,1.986,0.0,4.323,1.351,0.282,8.303,32.644
2026-04-24 09:46:17,72,1,0,13.508,205.825,5.484,2.451,0.428,228.091,29.8
2026-04-24 09:46:17,73,0,0,2.281,0.0,3.642,1.316,0.311,7.901,30.928
2026-04-24 09:46:17,74,0,0,1.851,0.0,4.561,1.388,0.303,8.481,32.644
2026-04-24 09:46:17,75,1,0,2.687,206.178,3.963,1.204,0.299,214.7,29.817
2026-04-24 09:46:17,76,0,0,4.577,0.0,3.745,1.099,0.249,9.958,31.956
2026-04-24 09:46:17,77,0,0,4.428,0.0,4.544,1.451,0.253,10.998,34.041
2026-04-24 09:46:18,78,1,0,1.824,188.493,3.559,1.227,0.265,195.73,31.113
2026-04-24 09:46:18,79,0,0,1.887,0.0,4.478,1.27,0.375,8.462,32.841
2026-04-24 09:46:18,80,0,0,8.628,0.0,4.67,1.422,0.334,15.41,32.987
2026-04-24 09:46:18,81,1,0,16.36,131.701,3.841,1.092,0.249,153.554,30.321
2026-04-24 09:46:18,82,0,0,1.7,0.0,4.009,1.498,0.289,7.852,31.309
2026-04-24 09:46:18,83,0,0,13.239,0.0,3.594,1.183,0.337,19.217,31.89
2026-04-24 09:46:18,84,1,0,10.853,243.971,3.218,1.159,0.253,259.74,29.07
2026-04-24 09:46:18,85,0,0,1.629,0.0,4.172,1.184,0.253,7.538,28.953
2026-04-24 09:46:18,86,0,0,1.91,0.0,3.643,1.062,0.264,7.185,29.042
2026-04-24 09:46:18,87,1,0,2.008,158.106,3.172,0.902,0.268,164.773,26.707
2026-04-24 09:46:18,88,0,0,1.794,0.0,6.421,1.893,0.42,10.928,28.225
2026-04-24 09:46:19,89,0,0,2.555,0.0,5.74,1.982,0.405,11.148,28.788
2026-04-24 09:46:19,90,1,0,10.185,288.991,4.819,1.661,0.875,307.014,26.225
2026-04-24 09:46:19,91,0,0,2.567,0.0,5.378,1.881,0.415,11.2,27.253
2026-04-24 09:46:19,92,0,0,2.302,0.0,7.059,2.057,0.449,12.446,27.769
2026-04-24 09:46:19,93,1,0,2.137,173.281,5.669,1.868,0.395,183.897,25.487
2026-04-24 09:46:19,94,0,0,2.188,0.0,5.024,1.978,0.236,9.904,26.429
2026-04-24 09:46:19,95,0,0,2.698,0.0,4.338,1.294,0.512,9.283,27.085
2026-04-24 09:46:19,96,1,0,5.476,161.405,5.463,1.569,0.293,174.649,24.917
2026-04-24 09:46:19,97,0,0,1.5,0.0,7.08,1.971,0.458,11.665,26.503
2026-04-24 09:46:19,98,0,0,1.593,0.0,5.032,2.161,0.425,9.676,26.96
2026-04-24 09:46:20,99,1,0,2.656,165.209,5.242,1.639,0.419,175.65,24.778
2026-04-24 09:46:20,100,0,0,3.784,0.0,5.088,1.995,0.485,11.917,25.876
2026-04-24 09:46:20,101,0,0,2.291,0.0,3.311,1.15,0.199,7.42,26.436
2026-04-24 09:46:20,102,1,0,4.045,167.017,3.702,1.596,0.422,177.306,24.31
2026-04-24 09:46:20,103,0,0,2.493,0.0,3.953,1.807,0.396,9.081,26.317
2026-04-24 09:46:20,104,0,0,2.152,0.0,5.254,1.272,0.306,9.471,27.727
2026-04-24 09:46:20,105,1,0,1.56,181.424,5.28,1.789,0.379,190.964,25.436
2026-04-24 09:46:20,106,0,0,1.882,0.0,5.542,1.631,0.384,10.186,26.553
2026-04-24 09:46:20,107,0,0,2.172,0.0,5.122,1.265,0.199,9.238,27.23
2026-04-24 09:46:20,108,1,0,2.582,166.017,5.807,1.825,0.381,177.09,25.037
2026-04-24 09:46:20,109,0,0,2.418,0.0,6.961,2.129,0.462,12.473,25.768
2026-04-24 09:46:20,110,0,0,2.244,0.0,5.449,1.569,0.352,10.073,26.634
2026-04-24 09:46:21,111,1,0,1.619,158.519,5.248,1.771,0.379,168.1,24.512
2026-04-24 09:46:21,112,0,0,1.69,0.0,5.034,1.877,0.423,9.519,25.674
2026-04-24 09:46:21,113,0,0,1.885,0.0,5.142,1.883,0.319,9.737,27.001
2026-04-24 09:46:21,114,1,0,2.685,165.355,5.466,1.884,0.379,176.312,24.821
2026-04-24 09:46:21,115,0,0,4.151,0.0,5.687,1.793,0.371,12.422,25.988
2026-04-24 09:46:21,116,0,0,9.878,0.0,5.83,1.866,0.301,18.361,27.034
2026-04-24 09:46:21,117,1,0,2.335,175.526,4.879,1.072,0.342,184.697,24.827
